dwt_multi_wavelet,dwt_level,model,RMSE,SMAPE,maj_prep,dwt_treshold
Coiflets-4,1,CNN,1261.4363056614036,12.983523332938548,multiresolution,
Coiflets-4,1,DTR,1880.3565252929586,17.270985998768733,multiresolution,
Coiflets-4,1,NN,1273.9982131348195,13.412228171955135,multiresolution,
Coiflets-4,1,RFR,1233.6597056288194,12.19118977197887,multiresolution,
Coiflets-4,1,RNN,5930.25159610168,140.0930576429385,multiresolution,
Coiflets-4,1,SVR,2468.964849373602,25.132679029948626,multiresolution,
Coiflets-4,2,CNN,1245.913816325572,12.949590379788429,multiresolution,
Coiflets-4,2,DTR,1815.1147251070252,17.738359523443624,multiresolution,
Coiflets-4,2,NN,1276.9466683929618,13.431874342659334,multiresolution,
Coiflets-4,2,RFR,1234.0174009552882,12.334428200602467,multiresolution,
Coiflets-4,2,RNN,5991.700287309789,147.99426934835944,multiresolution,
Coiflets-4,2,SVR,2606.903314577958,27.865049051287517,multiresolution,
Daubechies-4,1,CNN,1261.845759965872,13.365621222122938,multiresolution,
Daubechies-4,1,DTR,1727.7226080818466,16.97685730097832,multiresolution,
Daubechies-4,1,NN,1276.2696887977534,13.397243840239014,multiresolution,
Daubechies-4,1,RFR,1214.8230367159167,12.138566176267073,multiresolution,
Daubechies-4,1,RNN,5875.093176570532,133.5394675502274,multiresolution,
Daubechies-4,1,SVR,2479.892152317109,25.51434658676752,multiresolution,
Daubechies-4,2,CNN,1337.1239666591546,14.07347940564518,multiresolution,
Daubechies-4,2,DTR,1726.5069750228477,17.564660087193197,multiresolution,
Daubechies-4,2,NN,1287.3763031178005,13.514924070517235,multiresolution,
Daubechies-4,2,RFR,1234.6974330411313,12.454856958873751,multiresolution,
Daubechies-4,2,RNN,6122.283663213271,167.00649121770158,multiresolution,
Daubechies-4,2,SVR,2635.163407847513,28.790395563884,multiresolution,
Haar,1,CNN,1308.555314302245,13.775751366243606,multiresolution,
Haar,1,DTR,1804.1009033262078,17.410413214756268,multiresolution,
Haar,1,NN,1278.6240806849996,13.49985497028636,multiresolution,
Haar,1,RFR,1233.3006844221864,12.215683226024264,multiresolution,
Haar,1,RNN,6025.895213337923,152.64327946867314,multiresolution,
Haar,1,SVR,2466.077935293872,25.159587922902446,multiresolution,
Haar,2,CNN,1323.0018954531747,13.995307085713804,multiresolution,
Haar,2,DTR,1785.3630739567554,18.07674734441253,multiresolution,
Haar,2,NN,1292.1453926952522,13.634916073441195,multiresolution,
Haar,2,RFR,1229.5703863206652,12.483231102820689,multiresolution,
Haar,2,RNN,6198.983573264453,179.87612807557235,multiresolution,
Haar,2,SVR,2594.5995338663847,27.56523191475711,multiresolution,
Symlets-4,1,CNN,1267.1716355612718,13.189473790178539,multiresolution,
Symlets-4,1,DTR,1757.2493242202274,17.153084175442196,multiresolution,
Symlets-4,1,NN,1272.8283016681635,13.373552587282346,multiresolution,
Symlets-4,1,RFR,1223.565001013436,12.171025311656676,multiresolution,
Symlets-4,1,RNN,5821.660684307045,127.6112869110816,multiresolution,
Symlets-4,1,SVR,2462.588238251947,24.875828107225328,multiresolution,
Symlets-4,2,CNN,1259.909593648041,13.079605515154364,multiresolution,
Symlets-4,2,DTR,1800.9960086115088,17.395991978433155,multiresolution,
Symlets-4,2,NN,1282.2883564562544,13.4826847205696,multiresolution,
Symlets-4,2,RFR,1232.6885801634246,12.358457522757687,multiresolution,
Symlets-4,2,RNN,6121.926643113604,166.94531531940632,multiresolution,
Symlets-4,2,SVR,2592.5972611274938,27.31581438955136,multiresolution,
Coiflets-4,,CNN,1280.101714333291,13.461776780753743,denoising,0.1
Coiflets-4,,DTR,1806.965950479991,16.81669597943982,denoising,0.1
Coiflets-4,,NN,1276.111465457933,13.675156024254726,denoising,0.1
Coiflets-4,,RFR,1243.3032473988644,12.143545950184308,denoising,0.1
Coiflets-4,,RNN,5683.36014728391,114.04528812152128,denoising,0.1
Coiflets-4,,SVR,2377.7969012551275,23.09170324177469,denoising,0.1
Coiflets-4,,CNN,1287.981410344674,13.54637972146455,denoising,0.2
Coiflets-4,,DTR,1806.965950479991,16.81669597943982,denoising,0.2
Coiflets-4,,NN,1276.1114309736654,13.675152595078654,denoising,0.2
Coiflets-4,,RFR,1243.3032473988644,12.143545950184308,denoising,0.2
Coiflets-4,,RNN,5683.336922890262,114.04163272294338,denoising,0.2
Coiflets-4,,SVR,2377.7969012551275,23.09170324177469,denoising,0.2
Coiflets-4,,CNN,1278.8941109233776,13.434589679454751,denoising,0.3
Coiflets-4,,DTR,1806.965950479991,16.81669597943982,denoising,0.3
Coiflets-4,,NN,1276.1325388141327,13.676535327835287,denoising,0.3
Coiflets-4,,RFR,1243.3032473988644,12.143545950184308,denoising,0.3
Coiflets-4,,RNN,5683.350271891914,114.0462178608342,denoising,0.3
Coiflets-4,,SVR,2377.7969012551275,23.09170324177469,denoising,0.3
Daubechies-4,,CNN,1302.228549233886,14.035797229040432,denoising,0.1
Daubechies-4,,DTR,2054.624164975777,19.82553051488097,denoising,0.1
Daubechies-4,,NN,1290.2802060658225,13.821357435595413,denoising,0.1
Daubechies-4,,RFR,1335.5399910021542,13.642284565903633,denoising,0.1
Daubechies-4,,RNN,5946.8951679703505,142.1675004122359,denoising,0.1
Daubechies-4,,SVR,2382.547131978265,23.18041505976689,denoising,0.1
Daubechies-4,,CNN,1354.1877933137848,14.920907970789385,denoising,0.2
Daubechies-4,,DTR,2391.992194130889,21.716817027263797,denoising,0.2
Daubechies-4,,NN,1304.8600044912448,14.035079854912247,denoising,0.2
Daubechies-4,,RFR,1403.9759820018191,14.392194065792019,denoising,0.2
Daubechies-4,,RNN,5754.104852987666,120.68371144138672,denoising,0.2
Daubechies-4,,SVR,2385.094407887011,23.241542663654265,denoising,0.2
Daubechies-4,,CNN,1355.6956202712277,14.95713913358393,denoising,0.3
Daubechies-4,,DTR,2618.3339011428275,22.33253222297721,denoising,0.3
Daubechies-4,,NN,1304.2980822077166,13.755367628434275,denoising,0.3
Daubechies-4,,RFR,1452.087264022156,14.75180756863614,denoising,0.3
Daubechies-4,,RNN,5701.595504902188,115.70119277071652,denoising,0.3
Daubechies-4,,SVR,2386.179878664669,23.272895564954702,denoising,0.3
Haar,,CNN,1309.7622810441726,13.786279355958595,denoising,0.1
Haar,,DTR,2070.706099596612,21.32221618108544,denoising,0.1
Haar,,NN,1283.888929963904,13.674802191960534,denoising,0.1
Haar,,RFR,1306.7938478309336,13.985533459251714,denoising,0.1
Haar,,RNN,5781.656423209747,123.43841009648058,denoising,0.1
Haar,,SVR,2370.075883595296,22.994436734221,denoising,0.1
Haar,,CNN,1348.8009635167434,14.249952604279418,denoising,0.2
Haar,,DTR,2487.595179640985,24.624430854603816,denoising,0.2
Haar,,NN,1306.9265117596233,13.88474623150589,denoising,0.2
Haar,,RFR,1366.1210107945235,15.612422389337402,denoising,0.2
Haar,,RNN,5781.1068773038205,123.38355885096388,denoising,0.2
Haar,,SVR,2371.412347105382,23.047821345377677,denoising,0.2
Haar,,CNN,1385.643510022971,15.03973274830318,denoising,0.3
Haar,,DTR,2585.474508588657,27.835043000613503,denoising,0.3
Haar,,NN,1331.2176955168766,14.166603717837946,denoising,0.3
Haar,,RFR,1431.8653694791842,17.285174353635014,denoising,0.3
Haar,,RNN,5780.957460262549,123.36887518691644,denoising,0.3
Haar,,SVR,2373.535920528089,23.114969951477185,denoising,0.3
noisy,,CNN,1278.7323363985008,13.506072858840618,denoising,0.2
noisy,,DTR,1806.965950479991,16.81669597943982,denoising,0.2
noisy,,NN,1276.1114559205498,13.675154428502973,denoising,0.2
noisy,,RFR,1243.3032473988644,12.143545950184308,denoising,0.2
noisy,,RNN,5683.342951345296,114.04534093882307,denoising,0.2
noisy,,SVR,2377.7969012551275,23.09170324177469,denoising,0.2
Symlets-4,,CNN,1309.0554488014295,14.10850917055227,denoising,0.1
Symlets-4,,DTR,2150.641036678959,20.35212180782117,denoising,0.1
Symlets-4,,NN,1282.6740795003682,13.530402572105134,denoising,0.1
Symlets-4,,RFR,1310.88346776374,13.622835427663805,denoising,0.1
Symlets-4,,RNN,5914.562227988743,138.18022745379142,denoising,0.1
Symlets-4,,SVR,2379.424061602936,23.127350905454282,denoising,0.1
Symlets-4,,CNN,1344.0431588830188,14.708572480427394,denoising,0.2
Symlets-4,,DTR,2170.1575024958033,21.93206160770425,denoising,0.2
Symlets-4,,NN,1293.6825117901074,13.68054486171224,denoising,0.2
Symlets-4,,RFR,1383.3577258673763,14.473419884273827,denoising,0.2
Symlets-4,,RNN,5784.573712221094,123.73485579164641,denoising,0.2
Symlets-4,,SVR,2381.2694885781225,23.17067345151597,denoising,0.2
Symlets-4,,CNN,1350.7363048149907,14.936650313855285,denoising,0.3
Symlets-4,,DTR,2374.990452937013,22.989994348812584,denoising,0.3
Symlets-4,,NN,1306.5330799400715,13.949640336966311,denoising,0.3
Symlets-4,,RFR,1418.7988818533343,15.05553328059577,denoising,0.3
Symlets-4,,RNN,5785.1712633803745,123.79591112509155,denoising,0.3
Symlets-4,,SVR,2381.9480362620397,23.192106433612572,denoising,0.3
noisy,,ARIMA,738.7362238324919,77.07869325159263,baseline,
